Version	2	Start	1459535196.169
Time	Valor
V	38	Speed (Km/h)
0.330	4821
0.422	3988
0.456	4164
0.509	4318
0.548	4325
0.630	4254
0.689	4269
0.722	4223
0.781	4379
0.811	4201
0.871	4059
0.959	3995
1.050	4214
1.083	4102
1.144	3865
1.263	4074
1.324	4300
1.380	4095
1.499	4279
1.561	4494
1.685	4236
1.770	4627
1.893	4886
1.920	4887
1.979	4721
2.040	4841
2.075	4895
2.160	4824
2.280	4574
2.282	4620
2.344	4803
2.374	4818
2.550	4812
2.552	4817
2.670	5159
2.791	5197
2.851	5207
2.909	5216
2.999	5217
3.032	5179
3.178	5331
3.299	5068
3.451	5296
3.694	5706
3.749	5721
3.841	5719
3.900	5548
4.021	5229
4.199	4939
4.233	4966
4.264	5023
4.320	4636
4.381	4563
4.499	4594
4.565	4619
4.619	4708
4.769	4705
5.013	4719
5.044	4765
5.103	4705
5.160	4697
5.221	4609
5.372	4584
5.520	4429
5.609	4366
5.702	4701
5.882	4736
5.969	4713
6.036	4705
6.061	4664
6.150	4601
6.240	4523
6.515	4585
6.630	4708
6.689	4996
6.721	5011
6.780	4857
6.989	4953
7.079	6148
7.139	5934
7.201	5107
7.229	5091
7.323	4792
7.409	6135
7.469	4463
7.531	4324
7.619	3816
7.680	3935
7.740	4140
7.829	4240
7.861	4677
7.892	4694
7.923	4813
7.952	4808
8.009	4758
8.103	4604
8.132	4814
8.193	4433
8.249	4349
8.309	4302
8.461	4223
8.549	3815
8.580	3873
8.639	3867
8.671	3889
8.731	3865
8.765	3788
8.792	3861
8.849	3795
8.971	3728
9.002	3904
9.065	4199
9.150	4498
9.210	4948
9.273	5540
9.300	5586
9.330	6106
9.419	6356
9.479	5060
9.569	4516
9.660	6720
9.663	6732
9.781	8570
9.841	9322
9.929	6096
10.019	6779
10.026	6810
10.049	7063
10.054	7148
10.201	6843
10.289	5191
10.352	5102
10.381	5078
10.440	5009
10.500	5048
10.597	4771
10.651	4719
10.801	4671
10.863	4707
11.011	4845
11.072	4599
11.160	4584
11.163	4548
11.255	4163
11.369	4057
11.523	3411
11.761	3712
11.909	3912
11.940	3974
12.031	4328
12.090	4346
12.179	4371
12.271	4203
12.361	4082
12.398	4077
12.422	4108
12.479	4166
12.544	4242
12.603	4372
12.662	4481
12.720	4624
12.845	4219
12.929	3868
13.080	3484
13.349	2786
13.382	2591
13.442	2186
13.470	2086
13.505	1988
13.652	1583
13.801	1261
13.833	1202
13.950	875
13.981	821
14.099	633
14.161	567
14.219	513
14.281	340
14.430	301
14.491	322
14.609	888
14.613	901
14.699	1029
14.794	1143
14.825	1137
14.881	990
15.033	583
15.153	583
15.271	525
15.512	126
15.599	126
15.632	124
15.720	132
15.757	145
16.294	145
16.501	118
16.562	118
16.709	108
16.828	108
17.068	0
18.303	0
18.389	88
18.628	110
18.660	110
18.718	97
18.839	97
18.988	89
19.050	94
19.470	20
19.502	79
19.505	99
19.799	99
19.888	0
19.948	48
20.098	97
20.218	97
20.401	0
20.853	0
20.938	110
21.298	110
21.360	0
24.662	0
24.869	59
24.989	91
25.202	91
25.321	0
26.161	0
26.368	89
26.735	89
26.790	0
26.939	0
27.001	61
27.088	148
27.239	183
27.388	240
27.509	240
27.690	157
27.810	175
28.081	175
28.111	105
28.292	0
28.742	0
28.799	124
29.020	124
29.129	110
29.460	110
29.550	0
31.354	0
31.439	71
31.478	118
31.801	118
31.861	24
31.920	0
33.449	0
33.659	205
33.690	355
33.812	800
33.898	765
33.929	756
33.930	756
33.963	39
34.048	383
34.139	387
34.200	559
34.259	677
34.320	651
34.408	583
34.472	351
34.502	310
34.859	310
34.919	0
35.069	0
35.249	132
35.459	132
35.580	102
35.641	166
35.729	1016
35.820	1227
35.855	1226
35.879	1224
36.031	720
36.089	594
36.210	594
36.300	0
36.628	0
36.721	78
36.811	110
36.872	132
36.901	233
36.988	538
37.108	502
37.143	481
37.200	492
37.290	574
37.349	590
37.409	561
37.530	428
37.591	405
37.740	291
37.798	291
37.920	211
38.069	191
38.158	150
38.222	145
38.435	145
38.519	130
38.706	0
39.544	0
39.599	50
39.659	126
39.719	129
39.778	133
39.849	135
40.054	135
40.140	81
40.168	0
41.341	0
41.400	103
41.460	129
41.790	129
41.951	0
43.501	0
43.679	113
43.956	113
44.040	0
44.249	0
44.401	97
44.672	97
44.733	48
44.792	0
45.689	0
45.750	31
45.811	102
46.172	102
46.183	59
46.329	799
46.602	973
46.617	869
46.683	580
46.713	398
46.781	332
46.805	332
47.685	278
47.694	271
47.713	265
47.719	267
47.946	153
48.012	153
48.084	4
48.131	108
48.159	110
48.184	127
48.275	167
48.717	167
48.966	170
48.979	170
49.150	201
49.160	248
49.161	241
49.238	267
49.252	284
49.267	494
49.276	714
49.362	623
49.383	576
49.416	702
49.425	785
49.471	778
49.506	711
49.507	705
49.632	580
49.680	490
49.767	480
49.981	240
50.141	240
50.178	199
50.529	488
50.539	445
50.584	380
50.791	380
50.852	317
50.972	156
51.085	316
51.263	1173
51.384	1631
51.401	1708
51.424	1614
51.475	1323
51.543	657
51.613	557
51.640	444
51.699	737
51.723	1768
51.818	2896
51.966	3686
51.978	4575
52.082	4729
52.099	4428
52.161	4246
52.187	3716
52.297	3119
52.320	3780
52.416	4001
52.447	4160
52.487	4223
52.577	4147
52.643	4169
52.771	5159
52.787	5968
52.861	7042
52.973	7506
52.998	7549
53.014	7478
53.070	7239
53.223	6674
53.465	7126
53.490	7089
53.523	6966
53.580	6743
53.610	6756
53.677	6869
53.733	6953
53.852	7311
53.939	7263
54.005	7379
54.240	7568
54.300	8321
54.397	8507
54.454	8718
54.486	8790
54.511	8919
54.570	9577
54.630	10159
54.719	10497
54.753	10582
54.812	10573
54.934	10121
55.171	7584
55.173	7515
55.234	7097
55.262	7304
55.299	7530
55.321	7568
55.352	7831
55.416	7182
55.533	5983
55.654	6670
55.709	7383
55.800	7185
55.896	7410
55.924	7486
56.163	8056
56.344	7615
56.401	7592
56.461	7512
56.492	7371
56.651	8028
56.760	8194
56.813	8280
56.850	7928
56.927	8311
57.000	8342
57.034	8275
57.150	9173
57.203	9202
57.242	9258
57.301	10144
57.364	9556
57.512	10216
57.573	9928
57.665	10058
57.674	10043
57.693	9991
57.826	9988
57.879	10395
57.926	10510
57.965	10935
58.023	11207
58.127	11129
58.147	11236
58.230	11239
58.327	11168
58.534	11794
58.593	11893
58.651	11658
58.740	11278
58.979	12096
59.193	12123
59.250	12233
59.401	11752
59.493	11285
59.798	11759
59.927	11372
59.943	11210
60.001	11374
60.062	10768
60.121	10810
60.168	10813
60.214	10628
60.270	10989
60.303	11272
60.391	11482
60.455	10772
60.512	11640
60.572	11554
60.606	11023
60.690	10919
60.751	11149
60.843	10697
60.972	11198
61.080	11177
61.179	11273
61.265	11420
61.469	11081
61.564	10886
61.623	10609
61.682	10637
61.740	9696
61.774	9543
61.831	9487
61.896	9008
62.102	9016
62.190	9440
62.223	9068
62.267	8678
62.298	8687
62.344	8498
62.433	8188
62.475	8134
62.505	8069
62.611	8028
62.642	8158
62.793	8217
62.970	8232
63.031	8475
63.090	8251
63.212	8087
63.271	7616
63.341	7508
63.424	7003
63.489	7025
63.544	7052
63.631	7470
63.691	7829
63.750	8159
63.846	8311
63.930	8100
64.026	7643
64.110	7328
64.142	7196
64.263	8272
64.330	8784
64.381	7849
64.473	7672
64.529	7328
64.592	7509
64.622	7829
64.681	8388
64.849	8845
64.851	8970
64.880	8972
64.982	8439
65.014	8287
65.164	7796
65.227	8042
65.403	8659
65.522	9022
65.559	9292
65.672	9983
65.731	10304
65.792	10595
65.795	10620
65.850	10788
65.855	10805
65.913	10891
65.972	10923
66.003	10740
66.123	10810
66.215	10800
66.364	11172
66.393	11464
66.457	11812
66.515	12112
66.599	12417
66.664	12376
66.690	12315
66.752	12312
66.783	12471
66.847	12351
66.901	12856
66.963	12781
67.056	13268
67.110	13063
67.179	13162
67.201	13133
67.291	13225
67.412	13225
67.473	13217
67.505	13242
67.537	13208
67.684	12663
67.743	12619
67.777	12622
67.834	12954
67.890	13193
67.980	13324
68.031	13197
68.070	13224
68.133	13203
68.223	13088
68.311	12908
68.378	12654
68.403	12486
68.435	12308
68.468	12188
68.492	12052
68.585	12138
68.740	12229
68.850	12678
68.904	12749
68.972	12722
69.001	12717
69.041	12692
69.155	12827
69.329	12635
69.334	12653
69.483	12846
69.544	12745
69.662	12844
69.752	12961
69.922	13365
70.031	13122
70.081	13026
70.173	12630
70.231	12777
70.272	13040
70.323	13227
70.384	13064
70.443	13096
70.506	13212
70.565	13179
70.666	13183
70.740	13299
70.837	13045
70.895	12879
70.950	12818
70.985	13057
71.101	13185
71.198	13272
71.495	12989
71.531	13082
71.582	13159
71.644	13115
71.705	13233
71.851	13030
71.945	13088
72.000	12801
72.060	12879
72.130	12921
72.210	13073
72.277	13002
72.334	13009
72.423	12943
72.483	12870
72.541	13043
72.693	12908
72.842	12996
72.912	12970
72.960	12953
73.027	12846
73.082	12885
73.182	13030
73.234	12986
73.292	12983
73.394	12991
73.470	12937
73.508	13119
73.620	12879
73.680	12870
73.833	12750
73.866	12685
73.984	12804
74.070	12660
74.074	12649
74.136	12605
74.168	12696
74.225	12807
74.310	12982
74.371	13163
74.434	13314
74.550	13709
74.611	13607
74.670	13492
74.730	13712
74.797	14029
74.874	14215
74.888	14394
74.943	14494
74.974	14164
75.009	14225
75.062	14612
75.122	14568
75.241	14534
75.277	14812
75.280	14871
75.364	15022
75.396	15073
75.486	14882
75.548	14832
75.574	14986
75.601	14919
75.661	14989
75.783	14566
75.878	14020
75.933	13900
76.057	14097
76.200	13869
76.353	14279
76.472	14850
76.500	14859
76.560	14949
76.683	14825
76.772	14845
76.832	14694
76.892	14575
76.928	14346
76.956	14175
76.990	14158
77.043	13999
77.131	13746
77.167	13607
77.281	13588
77.370	13437
77.403	13422
77.490	13259
77.551	13162
77.613	13232
77.671	13093
77.850	13139
77.882	13064
77.918	13008
77.972	13038
78.003	13043
78.032	13026
78.066	13110
78.242	13168
78.365	13003
78.510	13004
78.543	13040
78.605	13047
78.670	12880
78.724	12939
78.780	12825
78.846	12888
78.960	12301
78.994	12446
79.113	12376
79.175	12466
79.203	12417
79.356	12133
79.410	12342
79.473	11793
79.572	12040
79.686	11320
79.800	10628
79.831	10629
79.869	10723
79.870	10737
79.892	10406
79.982	10824
80.041	10689
80.072	10625
80.130	10534
80.285	10571
80.403	10303
80.463	10294
80.585	10652
80.793	10279
80.911	10464
81.003	10328
81.070	10059
81.093	10051
81.123	10329
81.211	10809
81.251	10801
81.272	10750
81.304	10773
81.512	11259
81.604	11107
81.675	11397
81.696	11573
81.752	11636
81.786	11664
81.841	12052
81.906	12066
82.111	12367
82.268	12346
82.325	12601
82.413	12829
82.623	12737
82.711	12789
82.800	13079
82.809	13239
82.863	13256
82.926	13055
82.984	13203
83.078	13774
83.160	13918
83.220	13843
83.287	13969
83.370	14388
83.403	14355
83.490	14488
83.525	14472
83.586	14707
83.670	14706
83.703	14750
83.760	14919
83.790	14970
83.823	15093
83.942	15015
84.030	15193
84.123	15305
84.153	15295
84.360	15650
84.423	15993
84.452	15593
84.512	15926
84.603	16211
84.633	16238
84.690	16153
84.751	15965
84.875	15746
84.931	15598
84.993	15474
85.110	15669
85.352	15820
85.441	16029
85.503	16069
85.552	16047
85.620	15898
85.803	15834
86.015	16026
86.106	15990
86.160	15994
86.226	16081
86.290	16065
86.432	16200
86.465	16228
86.550	16445
86.640	16451
86.732	16249
86.737	16217
86.836	15941
86.915	15917
86.973	16122
87.092	16421
87.181	16347
87.215	16276
87.300	16196
87.481	15677
87.574	15502
87.692	15437
87.723	15381
87.910	15169
87.974	15079
87.979	15061
88.156	15017
88.174	15028
88.274	15323
88.387	15243
88.411	15142
88.474	15114
88.536	15435
88.839	15581
88.933	15567
88.953	15650
89.011	15687
89.102	15816
89.134	15781
89.190	15773
89.310	15977
89.342	15997
89.460	16164
89.608	16405
89.648	16597
89.772	16500
89.897	16482
89.924	16645
89.974	16436
90.032	16731
90.092	16921
90.181	16787
90.264	16951
90.304	16833
90.423	16889
90.529	16851
90.636	16966
90.672	16962
90.695	16994
90.756	17031
90.852	16864
90.871	16856
90.918	16859
90.990	16987
91.146	17060
91.230	17210
91.262	17209
91.326	17249
91.442	17081
91.502	17148
91.573	17107
91.653	17523
91.747	17118
91.880	17289
91.925	17427
92.072	17525
92.104	17536
92.162	17420
92.191	17391
92.254	17302
92.370	17378
92.404	17381
92.472	17537
92.524	17516
92.527	17502
92.583	17553
92.615	17545
92.643	17507
92.702	17450
92.764	17395
92.827	17397
93.003	17547
93.092	17616
93.098	17630
93.138	17685
93.151	17685
93.155	17702
93.240	17592
93.304	17602
93.333	17544
93.394	17733
93.480	17471
93.542	17242
93.660	17582
93.724	17576
93.755	17580
93.810	17721
93.875	17562
93.932	17433
94.058	17173
94.113	17090
94.263	16868
94.414	17369
94.565	17277
94.623	17377
94.682	17413
94.802	17176
94.897	17133
95.015	17177
95.074	17269
95.133	17133
95.281	17027
95.348	16879
95.404	17132
95.524	16578
95.580	17060
95.853	16290
95.920	16455
96.093	16946
96.127	16897
96.213	16715
96.277	16817
96.335	16842
96.394	17053
