Version	2	Start	1459535196.169
Time	Valor
V	50	Total Runtime 0
0.366	60268
0.688	60268
0.869	60269
1.743	60269
1.919	60270
2.220	60270
2.881	60271
3.723	60271
4.231	60272
4.769	60272
5.043	60273
5.701	60273
6.422	60274
6.901	60274
7.199	60275
8.009	60275
8.280	60276
9.001	60276
9.209	60277
9.901	60277
10.235	60278
11.072	60278
11.191	60279
11.730	60279
12.151	60280
13.080	60280
13.231	60281
13.740	60281
14.280	60282
15.090	60282
15.271	60283
16.201	60283
16.348	60284
17.164	60284
17.640	60285
18.180	60285
18.367	60286
19.198	60286
19.530	60287
20.192	60287
21.121	60288
21.482	60289
21.958	60289
22.445	60290
23.399	60290
24.393	60291
24.749	60292
25.322	60292
25.530	60293
26.462	60293
26.641	60294
26.822	60294
27.901	60295
28.470	60295
28.889	60296
29.549	60296
29.848	60297
30.599	60297
30.782	60298
31.078	60298
31.718	60299
32.100	60299
32.908	60300
33.509	60300
33.812	60301
34.380	60301
35.133	60302
35.941	60303
36.810	60303
36.900	60304
37.798	60304
37.918	60305
38.660	60305
39.088	60306
39.871	60306
40.055	60307
40.803	60307
41.249	60308
41.824	60308
42.030	60309
42.479	60309
43.081	60310
43.898	60310
44.732	60311
44.981	60311
45.121	60312
46.158	60312
46.600	60313
47.718	60313
48.183	60315
49.267	60315
49.361	60316
50.121	60316
50.584	60317
51.050	60317
51.423	60318
52.097	60318
52.304	60319
53.070	60319
53.464	60320
54.274	60320
54.691	60321
55.232	60321
55.350	60322
56.221	60322
56.400	60323
57.203	60323
58.023	60324
58.186	60324
58.650	60325
59.791	60326
60.361	60326
60.511	60327
61.383	60327
61.622	60328
62.298	60328
62.792	60329
63.489	60329
63.725	60330
64.380	60330
64.680	60331
65.559	60331
66.002	60332
66.723	60333
67.537	60333
68.046	60334
68.585	60334
68.971	60335
69.541	60335
70.271	60336
70.714	60336
70.984	60337
71.644	60337
71.824	60338
72.391	60338
72.912	60339
73.832	60339
73.983	60340
74.796	60340
74.943	60341
75.396	60341
75.961	60342
76.534	60342
76.955	60343
77.612	60343
77.971	60344
78.542	60344
79.170	60345
79.685	60345
80.106	60346
81.069	60346
81.183	60347
81.973	60347
82.262	60348
82.862	60348
83.402	60349
84.007	60349
84.425	60350
85.083	60350
85.551	60351
86.014	60351
86.195	60352
87.215	60352
87.692	60353
88.232	60353
88.800	60354
89.168	60354
89.342	60355
90.091	60355
90.525	60356
91.325	60356
91.572	60357
92.314	60357
92.471	60358
93.303	60358
93.542	60359
94.262	60359
94.622	60360
95.348	60360
96.126	60361
96.493	60361
96.633	60362
97.444	60362
97.777	60363
98.135	60363
98.641	60364
99.247	60364
99.574	60365
100.115	60365
100.622	60366
101.640	60366
102.281	60367
102.800	60367
103.486	60368
104.133	60368
104.180	60369
104.708	60369
105.282	60370
105.521	60370
106.141	60371
106.724	60371
107.117	60372
107.778	60372
107.958	60373
108.695	60373
108.997	60374
109.681	60374
109.872	60375
110.464	60375
111.037	60376
111.786	60376
111.964	60377
112.872	60377
113.303	60378
113.436	60378
114.005	60379
114.971	60379
115.148	60380
115.984	60380
116.823	60381
117.033	60381
117.250	60382
118.023	60382
118.263	60383
119.045	60383
119.136	60384
120.006	60384
120.183	60385
121.055	60385
121.293	60386
121.719	60386
122.229	60387
122.937	60387
123.695	60388
124.115	60388
124.535	60389
125.133	60389
125.341	60390
125.771	60390
126.542	60391
127.304	60391
127.651	60392
127.981	60392
128.643	60393
129.007	60393
130.086	60394
130.353	60394
130.833	60395
131.466	60395
131.586	60396
132.361	60396
132.915	60397
133.621	60398
134.375	60398
134.705	60399
135.575	60399
135.632	60400
136.474	60400
136.924	60401
137.563	60401
138.245	60402
138.572	60402
139.213	60403
139.689	60403
139.897	60404
140.581	60404
140.977	60405
141.632	60405
142.002	60406
142.715	60406
142.987	60407
143.472	60407
144.154	60408
144.818	60408
145.390	60409
145.776	60409
145.984	60410
146.732	60410
146.975	60411
147.844	60411
148.055	60412
148.593	60412
149.121	60413
149.771	60413
150.066	60414
150.881	60414
151.031	60415
151.992	60415
152.408	60416
153.041	60416
153.215	60417
153.908	60417
154.204	60418
155.112	60418
155.648	60419
155.826	60419
156.756	60420
157.052	60420
157.382	60421
158.226	60421
158.674	60422
159.126	60422
159.453	60423
159.881	60423
160.594	60424
161.138	60424
161.403	60425
161.920	60425
162.454	60426
163.053	60426
163.716	60427
164.465	60428
165.304	60428
165.462	60429
166.271	60429
166.597	60430
167.374	60430
167.555	60431
168.423	60431
168.847	60432
169.565	60432
170.043	60433
170.436	60433
170.620	60434
171.243	60434
171.602	60435
172.320	60435
172.868	60436
173.713	60436
174.063	60437
174.617	60437
174.791	60438
175.507	60438
175.776	60439
176.643	60439
177.368	60440
177.845	60441
178.773	60441
179.133	60442
179.927	60442
180.085	60443
180.604	60443
181.004	60444
181.750	60444
182.407	60445
182.949	60446
183.753	60446
184.293	60447
184.833	60447
185.075	60448
185.821	60448
186.063	60449
186.906	60449
187.418	60450
187.953	60450
188.104	60451
188.942	60451
189.185	60452
189.877	60452
190.143	60453
190.989	60453
191.282	60454
192.008	60454
192.346	60455
193.202	60455
193.892	60456
194.251	60456
194.435	60457
195.124	60457
195.605	60458
195.692	60458
196.424	60459
197.139	60459
197.551	60460
198.364	60460
198.883	60461
199.360	60461
199.472	60462
200.222	60462
200.405	60463
201.558	60463
201.998	60464
202.626	60464
203.015	60465
203.439	60465
204.043	60466
204.513	60466
205.009	60467
205.351	60467
205.652	60468
206.434	60468
206.853	60469
207.604	60469
208.056	60470
208.459	60470
208.712	60471
209.403	60471
209.731	60472
210.455	60472
210.760	60473
211.625	60473
211.831	60474
212.557	60474
212.829	60475
213.691	60475
214.113	60476
214.995	60477
215.675	60477
215.927	60478
216.305	60478
217.233	60479
217.689	60479
218.054	60480
218.823	60480
219.121	60481
219.722	60481
220.082	60482
220.393	60482
221.089	60483
221.705	60483
222.215	60484
223.027	60484
223.347	60485
224.002	60485
224.539	60486
225.052	60486
225.694	60487
226.150	60487
226.294	60488
226.684	60488
227.669	60489
228.189	60489
228.335	60490
229.205	60490
229.462	60491
229.984	60491
230.493	60492
230.858	60492
231.362	60493
231.997	60493
232.479	60494
233.226	60494
233.385	60495
234.193	60495
234.422	60496
235.284	60496
235.416	60497
236.316	60497
236.750	60498
237.216	60498
237.741	60499
238.475	60499
238.744	60500
239.312	60500
239.673	60501
240.547	60501
240.782	60502
241.430	60502
241.871	60503
242.335	60503
242.734	60504
243.546	60504
243.965	60505
244.631	60505
245.105	60506
245.495	60506
245.853	60507
246.641	60507
247.761	60508
247.867	60509
248.225	60509
249.251	60510
249.726	60510
249.965	60511
250.532	60511
251.406	60512
251.704	60512
251.887	60513
252.813	60513
253.385	60514
253.875	60514
254.076	60515
254.859	60515
255.452	60516
255.634	60516
255.995	60517
257.019	60517
257.226	60518
257.975	60518
258.068	60519
259.169	60519
259.761	60520
260.135	60521
260.836	60521
261.319	60522
262.350	60522
262.747	60523
262.965	60523
263.293	60524
264.183	60524
264.447	60525
265.175	60525
265.323	60526
266.195	60526
266.406	60527
266.647	60527
267.543	60528
268.242	60528
268.478	60529
269.104	60529
270.041	60530
270.291	60530
270.607	60531
271.296	60531
271.446	60532
272.373	60532
272.677	60533
273.397	60533
274.174	60534
274.267	60534
274.593	60535
275.523	60535
276.158	60536
276.424	60536
277.405	60537
277.475	60537
277.743	60538
278.553	60538
278.823	60539
279.546	60539
279.940	60540
280.484	60540
281.055	60541
281.745	60541
282.120	60542
282.592	60542
282.841	60543
283.807	60543
283.990	60544
284.574	60544
284.856	60545
285.701	60545
285.929	60546
286.714	60546
286.965	60547
287.798	60547
288.603	60548
288.826	60548
289.086	60549
289.900	60549
290.241	60550
290.922	60550
291.128	60551
291.754	60551
292.493	60552
292.985	60552
293.826	60553
293.946	60553
294.126	60554
294.958	60554
295.444	60555
296.056	60555
296.616	60556
297.141	60556
297.634	60557
298.084	60557
298.358	60558
299.079	60558
299.494	60559
299.767	60559
300.274	60560
301.326	60560
301.594	60561
302.074	60561
302.466	60562
302.827	60562
303.637	60563
304.303	60563
304.662	60564
305.062	60564
305.478	60565
306.430	60565
306.847	60566
307.392	60566
307.775	60567
308.359	60567
308.525	60568
309.455	60568
310.086	60569
310.536	60570
311.468	60570
311.645	60571
312.365	60571
312.604	60572
312.999	60572
313.766	60573
314.194	60573
314.917	60574
315.663	60574
316.385	60575
316.806	60576
317.558	60576
318.096	60577
318.805	60577
319.225	60578
319.680	60578
320.310	60579
320.493	60579
321.055	60580
321.505	60580
321.885	60581
322.836	60581
323.257	60582
323.648	60582
324.006	60583
324.724	60583
325.089	60584
325.926	60584
326.197	60585
326.826	60585
327.138	60586
327.877	60586
328.158	60587
328.926	60587
329.211	60588
329.676	60588
330.275	60589
330.855	60589
331.264	60590
332.077	60590
333.246	60592
334.093	60592
334.425	60593
335.320	60593
335.602	60594
336.411	60594
336.464	60595
337.006	60595
337.423	60596
338.046	60596
338.686	60597
339.366	60597
339.549	60598
340.386	60598
340.504	60599
341.201	60599
341.469	60600
342.339	60600
342.547	60601
343.385	60601
344.311	60602
344.441	60602
344.827	60603
345.338	60603
345.605	60604
346.479	60604
346.596	60605
347.527	60605
347.797	60606
348.426	60606
348.697	60607
349.657	60607
350.615	60608
350.854	60609
351.604	60609
351.821	60610
352.504	60610
352.744	60611
353.503	60611
354.247	60612
354.997	60613
355.744	60613
355.895	60614
356.654	60614
357.866	60615
358.429	60615
358.462	60616
358.692	60616
358.988	60617
359.796	60617
360.411	60618
360.750	60618
361.597	60619
361.988	60619
362.383	60620
362.623	60620
363.206	60621
364.037	60621
364.208	60622
365.052	60622
365.345	60623
365.557	60623
366.457	60624
366.848	60624
367.596	60625
368.049	60625
368.294	60626
369.127	60626
369.335	60627
369.815	60627
371.014	60628
371.466	60629
372.195	60629
372.552	60630
373.387	60630
373.688	60631
374.297	60631
374.467	60632
375.099	60632
375.551	60633
376.178	60633
376.509	60634
377.378	60634
378.005	60635
378.485	60635
378.696	60636
379.423	60636
379.675	60637
380.525	60637
380.919	60638
381.434	60638
381.935	60639
382.506	60639
383.021	60640
383.646	60640
383.856	60641
384.431	60641
384.668	60642
385.570	60642
385.837	60643
386.347	60643
387.005	60644
387.547	60644
387.965	60645
388.480	60645
389.678	60646
389.887	60647
390.656	60647
390.937	60648
391.808	60648
392.257	60649
392.826	60649
393.006	60650
393.938	60650
394.419	60651
394.719	60651
394.994	60652
395.946	60652
396.127	60653
396.916	60653
397.058	60654
397.986	60654
398.167	60655
399.037	60655
399.100	60656
399.845	60656
400.266	60657
401.109	60657
401.443	60658
401.832	60658
402.337	60659
403.149	60659
403.266	60660
404.139	60660
404.349	60661
405.457	60662
406.211	60662
406.326	60663
406.955	60663
407.332	60664
407.990	60664
408.618	60665
409.026	60665
409.510	60666
410.108	60666
410.527	60667
411.306	60667
411.425	60668
412.300	60668
412.576	60669
413.350	60669
413.766	60670
414.426	60670
414.638	60671
415.388	60671
415.567	60672
416.230	60672
416.737	60673
417.299	60673
417.762	60674
418.449	60674
418.629	60675
419.407	60675
419.676	60676
420.607	60676
420.877	60677
421.031	60677
421.898	60678
422.617	60678
422.927	60679
423.222	60679
423.790	60680
424.752	60680
424.868	60681
425.827	60681
425.919	60682
426.609	60682
427.115	60683
427.808	60683
427.989	60684
428.382	60684
429.366	60685
429.967	60685
430.149	60686
430.716	60686
430.992	60687
431.857	60687
432.012	60688
432.915	60688
433.103	60689
434.029	60689
434.984	60690
435.098	60691
436.120	60691
436.478	60692
437.055	60692
437.279	60693
438.135	60693
438.428	60694
438.997	60694
439.357	60695
440.054	60695
440.310	60696
441.248	60696
441.848	60697
442.236	60697
442.576	60698
443.016	60698
443.467	60699
444.307	60699
444.549	60700
445.417	60700
