Version	2	Start	1459535196.169
Time	Valor
V	37	Remaining Mileage
0.273	2400
2.763	2400
2.822	2398
5.437	2398
5.579	2396
6.719	2396
6.750	2398
8.073	2398
8.193	2396
9.449	2396
9.511	2392
10.951	2392
11.009	2394
12.243	2394
12.333	2390
13.590	2390
13.683	2388
14.792	2388
14.973	2384
17.463	2384
17.550	2382
28.020	2382
28.174	2380
34.560	2380
34.623	2378
37.171	2378
37.230	2380
38.492	2380
38.548	2378
39.809	2378
39.930	2380
46.382	2380
46.580	2378
49.243	2378
49.263	2376
50.306	2376
50.324	2374
85.663	2374
85.773	2364
116.322	2364
116.491	2292
147.160	2292
147.249	2232
177.880	2232
177.995	2168
208.596	2168
208.657	2054
270.040	2054
270.102	1942
300.700	1942
300.785	1858
331.504	1858
331.571	1744
362.238	1744
362.389	1694
392.890	1694
392.976	1624
396.973	1624
397.008	1512
398.588	1512
398.663	1534
403.001	1534
403.070	1570
406.285	1570
406.285	1586
409.330	1586
409.395	1606
418.626	1606
418.663	1654
425.527	1654
425.561	1690
436.463	1690
436.563	1724
450.069	1724
450.195	1784
466.482	1784
466.541	1844
477.412	1844
477.465	1866
483.731	1866
483.821	1882
490.838	1882
490.963	1900
504.733	1900
504.772	1910
506.249	1910
506.379	1932
511.179	1932
511.212	1926
514.624	1926
514.663	1934
518.236	1934
518.325	1932
520.301	1932
520.407	1934
522.636	1934
522.699	1926
533.773	1926
533.842	1930
537.287	1930
537.382	1942
539.171	1942
539.262	1928
540.883	1928
540.938	1930
544.030	1930
544.147	1934
558.886	1934
558.914	1932
562.062	1932
562.153	1946
571.874	1946
571.942	1956
580.068	1956
580.079	1968
592.006	1968
592.063	1974
594.985	1974
595.002	1968
599.772	1968
599.944	1976
620.683	1976
620.775	1986
629.028	1986
629.205	2002
631.740	2002
631.741	1998
638.477	1998
638.601	1992
640.064	1992
640.094	2010
641.808	2010
641.922	1998
649.036	1998
649.181	1990
653.617	1990
653.634	2002
657.344	2002
657.498	2010
660.312	2010
660.401	2002
664.970	2002
665.083	2004
667.637	2004
667.702	2016
680.279	2016
680.360	2020
687.763	2020
687.858	2024
704.054	2024
704.093	2046
708.623	2046
708.626	2052
718.250	2052
718.304	2056
721.824	2056
721.851	2060
729.971	2060
730.035	2072
744.896	2072
744.931	2086
753.552	2086
753.615	2076
762.200	2076
762.261	2086
767.860	2086
767.985	2098
778.690	2098
778.990	2100
779.981	2100
780.072	2112
781.270	2112
781.480	2104
782.621	2104
782.682	2094
783.975	2094
784.098	2092
785.236	2092
785.262	2090
786.524	2090
786.611	2086
787.841	2086
787.901	2082
789.132	2082
